Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Slit_Lamp\Project Outputs for Slit_Lamp\Pick Place\Pick Place for V2_Slit_Lamp_PCB.csv

========================================================================================================================
File Design Information:

Date:       29/10/20
Time:       23:11
Revision:   e2607d386f08b6cd0d2237855c6dc87647bff76d
Variant:    No variations
Units used: mm

﻿"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"STEP_CAP2","Panasonic EEEFK1C101P","TopLayer","Step_Capacitor","29.2100","50.3936","360","100uF/ 16V"
"STEP_CAP1","Panasonic EEEFK1C101P","TopLayer","Step_Capacitor","4.5750","10.9500","360","100uF/ 16V"
"10k","10K","TopLayer","RES_0603_1608","32.1564","38.0238","90","10K resistor"
"Current driver input","Conn_JST_BM03B-SRSS-TB_LF_SN_eec","TopLayer","JST_BM03B-SRSS-TB","36.9824","41.5036","270","CONN 3 Positions Header, Shrouded Connector 0.039" (1.00mm) Surface Mount Tin"
"IC1","DRV8834RGET","TopLayer","QFN50P400X400X100-25N-D","17.1250","9.6750","180","Brush DC Motor Controller, 2.2A, PQCC24"
"R9","1 ohm","TopLayer","RES_0603_1608","7.6500","5.5250","270","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 1ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R8","Resistor 47K5 +/-1 % 0402 63 mW","TopLayer","RESC0402(1005)_L","17.7250","4.4250","270","Chip Resistor, 47,5 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402"
"R7","Resistor 47K5 +/-1 % 0402 63 mW","TopLayer","RESC0402(1005)_L","18.9250","4.4250","270","Chip Resistor, 47,5 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402"
"R6","0.1 ohm","TopLayer","RES_1206_3216","22.4790","7.0582","90","Fixed Resistor, Metal Strip, 0.25W, 0.1ohm, 1% +/-Tol, 75ppm/Cel, Surface Mount, 1206"
"R5","0.1 ohm","TopLayer","RES_1206_3216","22.6250","12.8500","270","Fixed Resistor, Metal Strip, 0.25W, 0.1ohm, 1% +/-Tol, 75ppm/Cel, Surface Mount, 1206"
"R4","Resistor 47K5 +/-1 % 0402 63 mW","TopLayer","RESC0402(1005)_L","10.8500","11.2750","90","Chip Resistor, 47,5 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402"
"R3","CRCW04021K50FKED","TopLayer","RESC1005X40X25NL05T05","13.2500","12.8250","90",""
"R2","10k ohm","TopLayer","RES_0805_2012","10.5250","14.3500","360","NTC Thermistor, 10000ohm, Surface Mount"
